Time,Plasma,Cbb,Cbm,Cccsf,Cscsf,,Parameters,Sim 1
0,0,0,0,0,0,,Vbb,0.065
0.25,0,0,0,0,0,,Vbm,1.1041
28.3201828,0.323774814,0.326553017,0.137101669,0.065718436,0.070381579,,,
28.56124496,0.321331184,0.324744737,0.136058164,0.065194795,0.069836439,,,
28.80227089,0.318943178,0.320969054,0.135023925,0.064746826,0.069296026,,,
29.04269028,0.316532418,0.319645686,0.133999469,0.064217282,0.068761788,,,
29.28420258,0.314161262,0.317344247,0.13298396,0.063728889,0.068232256,,,
29.52508736,0.311810383,0.315013601,0.131975821,0.063244843,0.067706973,,,
29.76565742,0.309487005,0.312352704,0.130976946,0.062777835,0.067186818,,,
30.00692749,0.307171229,0.310304167,0.129987813,0.062292015,0.066672137,,,
30.24060631,0.304882459,0.307903648,0.12900587,0.061825476,0.066161428,,,
30.48176765,0.302618591,0.305213188,0.128033794,0.061381661,0.065656035,,,
30.72261429,0.30034878,0.303469388,0.127066574,0.060888618,0.065153765,,,
30.96390152,0.29812218,0.300894999,0.126109658,0.060448799,0.064656785,,,
31.20441437,0.295913083,0.298422914,0.125161542,0.060002538,0.064164617,,,
31.44473267,0.293704367,0.296584356,0.124219525,0.059536797,0.063676101,,,
31.68582344,0.291534693,0.29410273,0.123288231,0.059101396,0.063193094,,,
31.92045021,0.289361626,0.292364444,0.122361655,0.058638418,0.062713063,,,
32.16078949,0.28721623,0.290093757,0.121443125,0.058198826,0.062237173,,,
32.4019165,0.285098512,0.287529729,0.120532966,0.057784683,0.061765736,,,
32.64289093,0.282987575,0.285701191,0.119631752,0.057343202,0.061299276,,,
32.88442993,0.280900455,0.283092134,0.118735803,0.056926705,0.060835469,,,
33.12557983,0.278815033,0.28138317,0.117846522,0.056488861,0.060375551,,,
33.3661499,0.276756016,0.279355315,0.116966066,0.056063765,0.059920277,,,
33.60643387,0.274715005,0.277245894,0.116092594,0.055648759,0.059468692,,,
33.84064865,0.272681918,0.275631746,0.115226461,0.055216725,0.059021185,,,
34.08116913,0.270678546,0.2732751,0.114367677,0.054818806,0.058577394,,,
34.3223381,0.268683246,0.27128566,0.113514834,0.05441171,0.058136915,,,
34.56338882,0.266700847,0.269492968,0.112668593,0.053993547,0.057700015,,,
34.80412674,0.26474246,0.267340283,0.111830762,0.053600281,0.057267395,,,
35.04537201,0.26279925,0.2654961,0.110999933,0.053200463,0.056838632,,,
35.28710175,0.260870549,0.263343038,0.110174794,0.052809064,0.056412807,,,
35.52048874,0.258956089,0.261355091,0.109356105,0.052419728,0.05599046,,,
35.76128006,0.257056328,0.259431913,0.108544218,0.052032609,0.055571719,,,
36.00270462,0.255178418,0.257160714,0.107738277,0.051660358,0.055156033,,,
36.24312592,0.253303082,0.255720886,0.106940818,0.05126421,0.054745025,,,
36.48364258,0.251447913,0.253836637,0.106148198,0.050881225,0.054336453,,,
36.72526169,0.249598617,0.252296782,0.105361024,0.050492767,0.053930846,,,
36.96608353,0.247780638,0.250066861,0.104583184,0.050135257,0.053529939,,,
37.20627213,0.245971525,0.248225682,0.103809959,0.049765407,0.053131574,,,
37.44033051,0.244167295,0.246729203,0.103041074,0.049384786,0.052735601,,,
37.68139267,0.242392761,0.244539788,0.102280562,0.049034165,0.052343866,,,
37.92309952,0.240618963,0.242916288,0.101525019,0.048667043,0.051954842,,,
38.16366577,0.238867103,0.24101143,0.10077593,0.048310428,0.051569142,,,
38.40473557,0.237120398,0.239493341,0.100032429,0.047946086,0.051186443,,,
38.64585876,0.235397093,0.237674745,0.099295774,0.047600383,0.050807235,,,
38.8862381,0.233679655,0.235997421,0.098563869,0.047244733,0.050430593,,,
39.12049103,0.231979501,0.234388507,0.097838873,0.046891294,0.050057607,,,
39.36175537,0.23030444,0.232188938,0.097120865,0.04656587,0.049688003,,,
39.60283661,0.228623083,0.230774575,0.096405629,0.046211845,0.049320171,,,
39.84323502,0.226969132,0.228773292,0.095697139,0.045886849,0.048955628,,,
40.08409882,0.225323645,0.227105642,0.094994978,0.045551541,0.048594465,,,
40.32446671,0.223679975,0.225808978,0.094296526,0.045200093,0.048235381,,,
40.56548691,0.222055446,0.224285824,0.093605054,0.044865962,0.047879823,,,
40.80001831,0.220459846,0.222075691,0.092919547,0.044562603,0.047527184,,,
41.04103851,0.218860353,0.220520312,0.092238134,0.044232213,0.047176874,,,
41.28178024,0.217261283,0.219606332,0.091562725,0.043882557,0.046829869,,,
41.52302933,0.215700529,0.217369392,0.090891844,0.043581649,0.046484893,,,
41.76475143,0.214140074,0.21582653,0.090227403,0.043264963,0.046143381,,,
42.00586319,0.212585296,0.214603983,0.089567277,0.042935349,0.045804185,,,
42.24705124,0.211047623,0.213169114,0.088912333,0.042619554,0.045467629,,,
42.48048019,0.209528438,0.211525595,0.088263554,0.042310204,0.045134246,,,
42.72085953,0.208024538,0.209609113,0.087619991,0.042015561,0.044803482,,,
42.96276093,0.206520689,0.208241093,0.086980323,0.041708659,0.044474858,,,
43.20382309,0.205025056,0.207055686,0.086345817,0.041390124,0.04414903,,,
43.4440155,0.203551526,0.20536813,0.085716339,0.041096724,0.04382562,,,
43.68530273,0.202085509,0.203843846,0.0850922,0.040795883,0.043505011,,,
43.92628479,0.200627154,0.202531547,0.084471793,0.040495763,0.043186405,,,
44.16732025,0.199189943,0.200859643,0.083858043,0.040209776,0.042871142,,,
44.40092468,0.197754447,0.199575252,0.083247863,0.039911194,0.042557851,,,
44.64258575,0.196339141,0.197976898,0.082644103,0.039626843,0.042247752,,,
44.88312531,0.194928713,0.196510615,0.082042869,0.039339063,0.04193905,,,
45.12361526,0.193517759,0.195635368,0.081446831,0.039034393,0.041633168,,,
45.36468506,0.192135625,0.193949422,0.080856741,0.038760929,0.04133016,,,
